"Course_ID","Title","Description","Credits","Level","Hours_Per_Week","Department_ID","Course_Type"
BA201001,管理學,本課程介紹組織管理的基本概念與理論，包括規劃、組織、領導與控制等。,3,大學部,3,BA001,選修
CH201001,有機化學,本課程介紹有機化合物的結構、性質與反應，包括烷烴、醇類等。,3,大學部,3,CH001,選修
CS101001,計算機概論,本課程介紹計算機科學的基本概念，包括硬體、軟體、網路等。,3,大學部,3,CS001,選修
CS201001,資料結構,本課程介紹基礎資料結構與演算法，包括陣列、鏈結串列、堆疊、佇列、樹狀結構及圖形等。,3,大學部,3,CS001,選修
CS303001,資料庫系統,本課程介紹資料庫系統的設計與實作，包括關聯式資料庫理論、SQL語言及資料庫管理系統等。,3,大學部,3,CS001,選修
CS305001,計算機網路,本課程介紹電腦網路相關概念和技術，包括TCP/IP協定、網路應用程式設計等。,3,大學部,3,CS001,選修
CS406001,軟體工程,本課程介紹軟體開發生命週期、需求分析、系統設計、測試與軟體專案管理等。,3,大學部,3,CS001,選修
CS501001,演算法設計與分析,本課程介紹各種演算法設計技巧與分析方法，包括分治法、動態規劃等。,3,研究所,3,CS001,選修
CS502001,人工智慧,本課程介紹人工智慧的基本概念與技術，包括搜尋策略、知識表示等。,3,研究所,3,CS001,選修
CS505001,機器學習,本課程介紹機器學習理論與實作，包括監督式學習、非監督式學習及強化學習等。,3,研究所,3,CS001,選修
EE201001,電路學,本課程介紹基本電路理論與分析方法，包括電阻、電容、電感等。,3,大學部,3,EE001,選修
EE301001,電子學,本課程介紹半導體元件及其應用，包括二極體、電晶體等。,3,大學部,3,EE001,選修
FN201001,財務管理,本課程介紹企業財務決策理論與方法，包括資金成本、投資決策等。,3,大學部,3,FN001,選修
LS201001,細胞生物學,本課程介紹細胞的結構、功能與生命週期，包括細胞分裂、代謝等。,3,大學部,3,LS001,選修
MA201001,微積分,本課程介紹微積分的基本概念與應用，包括極限、微分與積分。,3,大學部,3,MA001,選修
MA301001,線性代數,本課程介紹線性代數的基本概念與應用，包括向量空間、矩陣等。,3,大學部,3,MA001,選修
ME201001,工程力學,本課程介紹基本力學原理與工程應用，包括靜力學與動力學。,3,大學部,3,ME001,選修
